sector,price,area,noOfOpenSides,price_per_sqft,Maintenance_Staff,Water_Storage,Vaastu_Compliant,Rain_Water_Harvesting,Rating,Metro,Park,School,College,Hospital,Shrine,Mall,Airport,latitude,longitude
sector 33,3.75,2248.84,1.0,0.0016675263691503,1.0,1.0,1.0,1.0,3.0,1,1,1,0,0,0,1,1,28.442,77.0207
sector 93,2.23,182.92,1.0,0.0121911218018806,1.0,1.0,0.0,0.0,4.0,0,0,0,1,1,0,1,1,28.4153,76.9326
sector 63,8.75,3077.36,2.0,0.0028433462448332,1.0,1.0,1.0,1.0,3.0,1,1,1,1,1,0,1,1,28.3971,77.0867
sector 22,0.9,451.92,2.0,0.0019915029208709,1.0,1.0,0.0,0.0,4.5,1,1,1,1,1,1,1,0,28.5072,77.064
sector 43,9.0,2690.0,1.0,0.0033457249070631,0.0,0.0,1.0,1.0,4.0,1,1,1,1,1,1,0,0,28.4629,77.0772
sector 9,1.4,2227.32,1.0,0.0006285580877467,0.0,0.0,1.0,1.0,4.75,0,0,1,0,0,1,0,0,28.4603,77.0
sector 55,5.9,2700.76,3.0,0.0021845702691094,1.0,1.0,0.0,0.0,4.25,1,1,0,0,0,1,1,0,28.4281,77.11
sector 12,0.8,957.64,1.0,0.0008353869930245,0.0,1.0,0.0,1.0,4.125,1,1,1,1,1,1,1,0,28.4723,77.032
sector 38,1.25,538.0,1.0,0.0023234200743494,1.0,1.0,0.0,0.0,4.25,0,0,1,0,0,1,1,0,28.4347,77.043
sector 42,1.75,742.4399999999999,1.0,0.0023570928290501,1.0,1.0,0.0,0.0,4.0,1,1,1,1,1,1,0,0,28.4576,77.102
sector 4,7.5,195950.36,3.0,3.8274999852003336e-05,0.0,0.0,1.0,1.0,4.25,1,1,1,1,1,1,0,0,28.4738,77.0107
sector 15,5.25,2517.84,2.0,0.0020851205795443,1.0,1.0,0.0,0.0,4.625,1,1,1,1,1,1,0,0,28.4621,77.0464
sector 33,3.5,1624.76,2.0,0.0021541643073438,0.0,0.0,1.0,1.0,3.0,1,1,1,1,1,0,1,1,28.442,77.0207
sector 30,4.46,4723.64,2.0,0.0009441871099406,1.0,1.0,0.0,0.0,5.0,1,1,1,1,1,0,0,0,28.4604,77.0579
sector 52,3.8,1979.84,1.0,0.0019193470179408,0.0,1.0,0.0,1.0,4.5,1,1,1,1,1,1,0,0,28.4379,77.0785
sector 89,3.13,193.68,1.0,0.0161606774060305,0.0,0.0,1.0,1.0,4.0,0,0,1,1,1,0,0,0,28.4253,76.9439
sector 57,5.5,2722.28,1.0,0.0020203652820429,1.0,1.0,0.0,0.0,4.0,1,1,1,1,1,1,0,0,28.4232,77.0752
sector 57,6.0,2722.28,2.0,0.0022040348531378,0.0,0.0,1.0,1.0,4.0,1,1,1,1,1,1,0,0,28.4232,77.0752
sector 57,5.0,2367.2,4.0,0.0021122000675904,1.0,1.0,0.0,0.0,4.0,1,1,1,1,1,1,0,0,28.4232,77.0752
sector 88b,1.8,1614.0,2.0,0.0011152416356877,0.0,0.0,1.0,1.0,3.0,0,0,1,0,0,0,0,0,28.4446,76.9542
sector 10,2.7,161.4,1.0,0.0167286245353159,1.0,1.0,0.0,0.0,4.25,1,1,1,1,1,0,1,1,28.4537,77.0009
sector 12,0.56,1915.28,1.0,0.0002923854475585,0.0,0.0,1.0,1.0,4.0,0,0,1,1,1,0,1,0,28.4723,77.032
sector 50,7.0,2388.72,1.0,0.0029304397334137,1.0,1.0,0.0,0.0,4.75,1,1,1,1,1,0,1,1,28.4178,77.0628
badshahpur,0.25,96.84,2.0,0.0025815778603882,0.0,0.0,1.0,1.0,4.25,0,0,0,0,0,1,1,0,77.0466318,28.3933996
sector 12,0.8,1000.68,1.0,0.0007994563696686,0.0,0.0,1.0,1.0,4.0,1,1,1,1,1,1,0,0,28.4723,77.032
sector 56,2.8,1129.8,2.0,0.0024783147459727,1.0,1.0,0.0,0.0,4.5,1,1,1,1,1,1,0,0,28.4245,77.0991
sector 9,1.0,903.84,2.0,0.0011063905115949,0.0,0.0,1.0,1.0,3.0,0,0,1,0,0,0,0,0,28.4603,77.0
sector 52,3.64,1872.24,1.0,0.001944195188651,0.0,0.0,1.0,1.0,4.5,1,1,1,1,1,1,0,0,28.4379,77.0785
